symbol,instrument_type,security_type,market_status,total_volume,aum_size,average,change,eps,exchange,exercise_price,exercise_ratio,high,implied_volatility,inav,intrinsic_value,last,last_trading_date,low,maturity_date,moneyness,pbv,pe,percent_change,percent_yield,theoretical,to_last_trade,underlying,underlying_price,updated_at,shares_outstanding
AMATA,STOCK,CS,Open1,0,NULL,NULL,NULL,2.15904,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.15,10.19,NULL,3.640000105,NULL,NULL,NULL,NULL,27:56.3,
AMATAR,STOCK,CS,Open1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.63,NULL,NULL,9.279999733,NULL,NULL,NULL,NULL,27:58.5,
AMATAV,STOCK,CS,Open1,0,NULL,NULL,NULL,0.09388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.77,40.48,NULL,1.320000052,NULL,NULL,NULL,NULL,28:00.7,
AMC,STOCK,CS,Open1,0,NULL,NULL,NULL,0.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.28,13.15,NULL,5.130000114,NULL,NULL,NULL,NULL,28:02.9,
AMR,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,0,NULL,0,NULL,NULL,NULL,NULL,28:05.1,
ANAN,STOCK,CS,Open1,0,NULL,NULL,NULL,0.013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.23,7.6,NULL,0,NULL,NULL,NULL,NULL,28:07.3,
ANI,STOCK,CS,Open1,0,NULL,NULL,NULL,0.3595,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.66,7.79,NULL,7.139999866,NULL,NULL,NULL,NULL,28:09.5,
AOT,STOCK,CS,Open1,100,NULL,52,11.25,0.37,NULL,NULL,NULL,52,NULL,NULL,NULL,52,NULL,52,NULL,NULL,4.39,28.44,27.61,1.99000001,NULL,NULL,NULL,NULL,28:11.7,
AP,STOCK,CS,Open1,0,NULL,NULL,NULL,1.59576,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.63,5.51,NULL,6.820000172,NULL,NULL,NULL,NULL,28:13.9,
APCO,STOCK,CS,Open1,0,NULL,NULL,NULL,0.09118,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.66,37.29,NULL,2.710000038,NULL,NULL,NULL,NULL,28:16.2,
APCS,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.08727,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.54,0,NULL,0,NULL,NULL,NULL,NULL,28:18.7,
APO,STOCK,CS,Open1,0,NULL,NULL,NULL,0.33833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.43,5.14,NULL,11.72999954,NULL,NULL,NULL,NULL,28:20.9,
APP,STOCK,CS,Open1,0,NULL,NULL,NULL,0.23883,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.34,7.66,NULL,8.199999809,NULL,NULL,NULL,NULL,28:23.1,
APURE,STOCK,CS,Open1,0,NULL,NULL,NULL,0.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.33,12.4,NULL,6.110000134,NULL,NULL,NULL,NULL,28:25.4,
AQUA,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.27,0,NULL,0,NULL,NULL,NULL,NULL,28:27.7,
ARIN,STOCK,CS,Open1,0,NULL,NULL,NULL,-0.0478,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.95,0,NULL,0,NULL,NULL,NULL,NULL,28:29.9,
ARIP,STOCK,CS,Open1,0,NULL,NULL,NULL,0.01782,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.86,23.57,NULL,4.019999981,NULL,NULL,NULL,NULL,28:32.1,
ARROW,STOCK,CS,Open1,0,NULL,NULL,NULL,0.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.05,12.03,NULL,6.670000076,NULL,NULL,NULL,NULL,28:34.3,
