"symbol","instrument_type","security_type","market_status","total_volume","aum_size","average","change","eps","exchange","exercise_price","exercise_ratio","high","implied_volatility","inav","intrinsic_value","last","last_trading_date","low","maturity_date","moneyness","pbv","pe","percent_change","percent_yield","theoretical","to_last_trade","underlying","underlying_price","updated_at"
"ACE","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.8","15.38",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:26:43.55844"
"ACG","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.03986",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.67","20.07",NULL,"3.3299999237060547",NULL,NULL,NULL,NULL,"2025-03-17 01:26:45.84264"
"ADB","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.048",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.73","13.58",NULL,"3.130000114440918",NULL,NULL,NULL,NULL,"2025-03-17 01:26:48.019383"
"ADD","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.1236",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.21","30.42",NULL,"9.569999694824219",NULL,NULL,NULL,NULL,"2025-03-17 01:26:50.207124"
"ADVANC","STOCK","CS","Open1",100,NULL,"286.0","16.0","11.79",NULL,NULL,NULL,"286.0",NULL,NULL,NULL,"286.0",NULL,"286.0",NULL,NULL,"8.11","22.47","5.93","4.0",NULL,NULL,NULL,NULL,"2025-03-17 01:26:52.372375"
"ADVICE","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.38208",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3.46","14.0",NULL,"6.190000057220459",NULL,NULL,NULL,NULL,"2025-03-17 01:26:54.543834"
"AE","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.031",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.23","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:26:56.72883"
"AEONTS","STOCK","CS","Open1",0,NULL,NULL,NULL,"8.5395",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.01","8.01",NULL,"5.309999942779541",NULL,NULL,NULL,NULL,"2025-03-17 01:26:58.895488"
"AF","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.01046",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.3","40.14",NULL,"4.760000228881836",NULL,NULL,NULL,NULL,"2025-03-17 01:27:01.071003"
"AFC","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.15","51.4",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:27:03.303527"
"AGE","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.18956",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.41","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:27:05.463698"
"AH","STOCK","CS","Open1",0,NULL,NULL,NULL,"2.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.4","5.62",NULL,"6.320000171661377",NULL,NULL,NULL,NULL,"2025-03-17 01:27:07.785135"
"AHC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.85",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.99","16.29",NULL,"3.119999885559082",NULL,NULL,NULL,NULL,"2025-03-17 01:27:09.970943"
"AI","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.55027",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.01","6.36",NULL,"9.710000038146973",NULL,NULL,NULL,NULL,"2025-03-17 01:27:12.209387"
"AIE","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.175",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.85","8.24",NULL,"17.360000610351562",NULL,NULL,NULL,NULL,"2025-03-17 01:27:14.472674"
"AIMCG","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.25",NULL,NULL,"19.389999389648438",NULL,NULL,NULL,NULL,"2025-03-17 01:27:16.724023"
"AIMIRT","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.85",NULL,NULL,"7.510000228881836",NULL,NULL,NULL,NULL,"2025-03-17 01:27:18.928956"
"AIRA","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.02158",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.94","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:27:21.097769"
"AIT","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.37218",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.6","11.97",NULL,"12.329999923706055",NULL,NULL,NULL,NULL,"2025-03-17 01:27:23.312422"
"AJ","STOCK","CS","Open1",0,NULL,NULL,NULL,"-1.38",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.3","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:27:25.558179"
"AJA","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.01781",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.89","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:27:27.757521"
"AKP","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.08998",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.44","7.78",NULL,"5.289999961853027",NULL,NULL,NULL,NULL,"2025-03-17 01:27:30.024869"
"AKR","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.89","5.36",NULL,"9.800000190734863",NULL,NULL,NULL,NULL,"2025-03-17 01:27:32.200769"
"AKS","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.02838",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.69","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:27:34.44515"
"ALLA","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.16838",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.84","7.96",NULL,"8.210000038146973",NULL,NULL,NULL,NULL,"2025-03-17 01:27:36.640114"
"ALLY","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.48",NULL,NULL,"11.359999656677246",NULL,NULL,NULL,NULL,"2025-03-17 01:27:38.800121"
"ALPHAX","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.03563",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.72","12.35",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:27:40.999202"
"ALT","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.00719",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.56","111.24",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:27:43.18359"
"ALUCON","STOCK","CS","Open1",0,NULL,NULL,NULL,"18.08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.1","9.87",NULL,"6.71999979019165",NULL,NULL,NULL,NULL,"2025-03-17 01:27:45.371458"
"AMA","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.65174",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.7","6.17",NULL,"11.1899995803833",NULL,NULL,NULL,NULL,"2025-03-17 01:27:47.553433"
"AMANAH","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.01386",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.54","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:27:49.75985"
"AMARC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.93","12.11",NULL,"5.21999979019165",NULL,NULL,NULL,NULL,"2025-03-17 01:27:51.940359"
"AMARIN","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.08465",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.52","31.39",NULL,"2.5",NULL,NULL,NULL,NULL,"2025-03-17 01:27:54.122112"
"AMATA","STOCK","CS","Open1",0,NULL,NULL,NULL,"2.15904",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.15","10.19",NULL,"3.640000104904175",NULL,NULL,NULL,NULL,"2025-03-17 01:27:56.280924"
"AMATAR","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.63",NULL,NULL,"9.279999732971191",NULL,NULL,NULL,NULL,"2025-03-17 01:27:58.468359"
"AMATAV","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.09388",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.77","40.48",NULL,"1.3200000524520874",NULL,NULL,NULL,NULL,"2025-03-17 01:28:00.667701"
"AMC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.28","13.15",NULL,"5.130000114440918",NULL,NULL,NULL,NULL,"2025-03-17 01:28:02.889522"
"AMR","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.4","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:28:05.0743"
"ANAN","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.013",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.23","7.6",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:28:07.290564"
"ANI","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.3595",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.66","7.79",NULL,"7.139999866485596",NULL,NULL,NULL,NULL,"2025-03-17 01:28:09.47376"
"AOT","STOCK","CS","Open1",100,NULL,"52.0","11.25","0.37",NULL,NULL,NULL,"52.0",NULL,NULL,NULL,"52.0",NULL,"52.0",NULL,NULL,"4.39","28.44","27.61","1.9900000095367432",NULL,NULL,NULL,NULL,"2025-03-17 01:28:11.66249"
"AP","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.59576",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.63","5.51",NULL,"6.820000171661377",NULL,NULL,NULL,NULL,"2025-03-17 01:28:13.86428"
"APCO","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.09118",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3.66","37.29",NULL,"2.7100000381469727",NULL,NULL,NULL,NULL,"2025-03-17 01:28:16.222652"
"APCS","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.08727",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.54","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:28:18.723276"
"APO","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.33833",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.43","5.14",NULL,"11.729999542236328",NULL,NULL,NULL,NULL,"2025-03-17 01:28:20.911026"
"APP","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.23883",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.34","7.66",NULL,"8.199999809265137",NULL,NULL,NULL,NULL,"2025-03-17 01:28:23.091032"
"APURE","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.33","12.4",NULL,"6.110000133514404",NULL,NULL,NULL,NULL,"2025-03-17 01:28:25.437609"
"AQUA","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.173",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.27","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:28:27.667134"
"ARIN","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.0478",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.95","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:28:29.876843"
"ARIP","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.01782",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.86","23.57",NULL,"4.019999980926514",NULL,NULL,NULL,NULL,"2025-03-17 01:28:32.072254"
"ARROW","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.05","12.03",NULL,"6.670000076293945",NULL,NULL,NULL,NULL,"2025-03-17 01:28:34.25454"
"AS","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.38",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.03","6.91",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:28:36.442087"
"ASAP","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.03915",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.22","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:28:38.612146"
"ASEFA","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.82","22.13",NULL,"4.760000228881836",NULL,NULL,NULL,NULL,"2025-03-17 01:28:40.840628"
"ASIA","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.00682",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.28","0.0",NULL,"5.150000095367432",NULL,NULL,NULL,NULL,"2025-03-17 01:28:42.9987"
"ASIAN","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.04214",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.0","7.68",NULL,"12.380000114440918",NULL,NULL,NULL,NULL,"2025-03-17 01:28:45.169762"
"ASIMAR","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.197",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.88","7.92",NULL,"7.690000057220459",NULL,NULL,NULL,NULL,"2025-03-17 01:28:47.349928"
"ASK","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.62859",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.36","11.22",NULL,"4.539999961853027",NULL,NULL,NULL,NULL,"2025-03-17 01:28:49.635771"
"ASN","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.01253",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.74","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:28:51.828344"
"ASP","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.94","12.88",NULL,"6.880000114440918",NULL,NULL,NULL,NULL,"2025-03-17 01:28:54.030377"
"ASW","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.62",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.77","4.14",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:28:56.234213"
"ATP30","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.06673",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.11","13.34",NULL,"3.369999885559082",NULL,NULL,NULL,NULL,"2025-03-17 01:28:58.403141"
"AU","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.36316",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"6.7","25.06",NULL,"3.630000114440918",NULL,NULL,NULL,NULL,"2025-03-17 01:29:00.598035"
"AUCT","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.67508",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"7.3","11.11",NULL,"8.930000305175781",NULL,NULL,NULL,NULL,"2025-03-17 01:29:02.784119"
"AURA","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.85069",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3.42","19.28",NULL,"2.559999942779541",NULL,NULL,NULL,NULL,"2025-03-17 01:29:04.991519"
"AWC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.1828",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.02","15.98",NULL,"2.569999933242798",NULL,NULL,NULL,NULL,"2025-03-17 01:29:07.206255"
"AXTRART","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.96",NULL,NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:29:09.392903"
"AYUD","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.83614",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.87","17.43",NULL,"8.029999732971191",NULL,NULL,NULL,NULL,"2025-03-17 01:29:11.596912"
"B","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.005",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.14","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:29:13.807645"
"B-WORK","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.5",NULL,NULL,"14.640000343322754",NULL,NULL,NULL,NULL,"2025-03-17 01:31:34.378849"
"B52","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.12672",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.43","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-17 01:29:15.989547"
"BA","STOCK","CS","Open1",1100,NULL,"22.0","0.6","1.8",NULL,NULL,NULL,"22.0",NULL,NULL,NULL,"22.0",NULL,"22.0",NULL,NULL,"2.72","11.42","2.8","6.309999942779541",NULL,NULL,NULL,NULL,"2025-03-17 01:29:18.20838"
"BAFS","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.96","50.2",NULL,"3.700000047683716",NULL,NULL,NULL,NULL,"2025-03-17 01:29:20.596235"
"BAM","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.46","12.71",NULL,"5.559999942779541",NULL,NULL,NULL,NULL,"2025-03-17 01:29:22.792425"
"BANPU","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.06811",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.38","0.0",NULL,"7.010000228881836",NULL,NULL,NULL,NULL,"2025-03-17 01:29:24.979504"
"BAREIT","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.94",NULL,NULL,"7.909999847412109",NULL,NULL,NULL,NULL,"2025-03-17 01:29:27.15991"
"BAY","STOCK","CS","Open1",0,NULL,NULL,NULL,"4.03762",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.42","5.55",NULL,"3.7899999618530273",NULL,NULL,NULL,NULL,"2025-03-17 01:29:29.394469"
"BBGI","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.58","25.14",NULL,"2.6700000762939453",NULL,NULL,NULL,NULL,"2025-03-17 01:29:31.561726"
"BBIK","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.50541",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3.16","20.76",NULL,"0.699999988079071",NULL,NULL,NULL,NULL,"2025-03-17 01:29:33.753085"
"BBL","STOCK","CS","Pre-Open",2600,NULL,"147.67308","-1.0","23.6851",NULL,NULL,NULL,"150.0",NULL,NULL,NULL,"146.5",NULL,"146.0",NULL,NULL,"0.5","6.19","-0.68","5.800000190734863",NULL,NULL,NULL,NULL,"2025-03-17 01:29:35.931973"
"BC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.0563",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.89","18.68",NULL,"4.949999809265137",NULL,NULL,NULL,NULL,"2025-03-17 01:29:38.134101"
"BCH","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.51423",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3.06","30.92",NULL,"2.5199999809265137",NULL,NULL,NULL,NULL,"2025-03-17 01:29:40.334148"
"BCP","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.83","22.7",NULL,"2.9200000762939453",NULL,NULL,NULL,NULL,"2025-03-17 01:29:42.54867"
"BCPG","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.60732",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.56","9.47",NULL,"4.869999885559082",NULL,NULL,NULL,NULL,"2025-03-17 01:29:44.737348"
"BCT","STOCK","CS","Open1",0,NULL,NULL,NULL,"5.62928",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.62","5.71",NULL,"2.069999933242798",NULL,NULL,NULL,NULL,"2025-03-17 01:29:46.902013"
"BDMS","STOCK","CS","Open1",0,NULL,NULL,NULL,"1.00598",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3.77","23.56",NULL,"3.1600000858306885",NULL,NULL,NULL,NULL,"2025-03-17 01:29:49.085371"
"BE8","STOCK","CS","Open1",5000,NULL,"12.0","-0.2","0.58",NULL,NULL,NULL,"12.0",NULL,NULL,NULL,"12.0",NULL,"12.0",NULL,NULL,"1.08","20.05","-1.64","2.049999952316284",NULL,NULL,NULL,NULL,"2025-03-17 01:29:51.411317"
